maneuver_id,scene_key,split,source_shard,record_index,decision_start_frame,merge_start_frame,start_shift_frames,episode_horizon,v_e,d_m,target_front_present,target_front_gap,target_front_relative_speed,target_front_ttc,target_rear_present,target_rear_gap,target_rear_relative_speed,target_rear_ttc,source_front_present,source_front_gap,source_front_relative_speed,source_front_ttc,front_closing_speed,rear_closing_speed,traffic_density,merge_region_length_m,OPEN_GAP,FRONT_CONSTRAINED,REAR_CONSTRAINED,SOURCE_FOLLOW_RELEVANT,LATE_MERGE,DENSE_INTERACTION,MULTI_CONSTRAINT
MAN_0001,training_tfexample.tfrecord-00000-of-01000#12,train,training_tfexample.tfrecord-00000-of-01000,12,32,36,4,58,16.836492079578605,18.85856391350069,1,18.934872759393443,0.9472007578740236,19.990347982715356,0,0.0,0.0,100.0,0,0.0,0.0,100.0,0.9472007578740236,,14,20.106585650725695,0,0,0,0,0,0,0
MAN_0002,training_tfexample.tfrecord-00000-of-01000#18,train,training_tfexample.tfrecord-00000-of-01000,18,0,0,0,90,12.79773923710441,8.629088975166525,1,4.495343404842993,0.7850287060478802,5.726342705955538,0,0.0,0.0,100.0,1,4.524402596772514,0.7895509625688817,5.730349035421255,0.7850287060478802,,6,14.747515195623146,0,1,0,1,1,0,1
MAN_0003,training_tfexample.tfrecord-00000-of-01000#20,train,training_tfexample.tfrecord-00000-of-01000,20,5,9,4,85,11.120423773017288,19.93213426952636,0,0.0,0.0,100.0,0,0.0,0.0,100.0,1,-1.7574492790666403,11.120422381688037,0.0,,,28,20.663433195230272,0,0,0,1,0,1,1
MAN_0004,training_tfexample.tfrecord-00000-of-01000#40,train,training_tfexample.tfrecord-00000-of-01000,40,0,0,0,90,10.993299894410855,10.245129820517768,1,17.306805874601146,-0.2171952836505504,100.0,0,0.0,0.0,100.0,1,-1.923982277510568,-3.1651288713483385,0.0,-0.2171952836505504,,10,30.0,0,0,0,1,1,0,1
MAN_0005,training_tfexample.tfrecord-00000-of-01000#44,train,training_tfexample.tfrecord-00000-of-01000,44,3,3,0,87,4.624970566802186,2.153927380199619,1,18.980686302384736,3.761334392051377,5.046263991442927,0,0.0,0.0,100.0,0,0.0,0.0,100.0,3.761334392051377,,9,30.0,0,0,0,0,1,0,0
MAN_0006,training_tfexample.tfrecord-00000-of-01000#62,train,training_tfexample.tfrecord-00000-of-01000,62,0,0,0,90,16.423999742073175,9.307050065184939,0,0.0,0.0,100.0,0,0.0,0.0,100.0,0,0.0,0.0,100.0,,,7,21.78823847522359,1,0,0,0,1,0,0
MAN_0007,training_tfexample.tfrecord-00000-of-01000#99,train,training_tfexample.tfrecord-00000-of-01000,99,35,39,4,55,4.709968927777546,9.683471057258675,1,7.075956196319485,-4.78260180776083,100.0,0,0.0,0.0,100.0,0,0.0,0.0,100.0,-4.78260180776083,,26,13.375923089752499,0,1,0,0,1,1,1
MAN_0008,training_tfexample.tfrecord-00000-of-01000#103,validation,training_tfexample.tfrecord-00000-of-01000,103,32,36,4,58,16.018698030195786,9.062699846880689,0,0.0,0.0,100.0,0,0.0,0.0,100.0,0,0.0,0.0,100.0,,,25,9.860135567130248,1,0,0,0,1,1,1
MAN_0009,training_tfexample.tfrecord-00000-of-01000#119,validation,training_tfexample.tfrecord-00000-of-01000,119,35,39,4,55,11.070838163718593,14.33032243325808,1,14.47763287219961,2.6261390226882675,5.512896593486308,0,0.0,0.0,100.0,0,0.0,0.0,100.0,2.6261390226882675,,29,16.58224806859391,0,0,0,0,0,1,0
MAN_0010,training_tfexample.tfrecord-00000-of-01000#132,train,training_tfexample.tfrecord-00000-of-01000,132,4,8,4,86,3.0106824829065295,18.725121914986946,1,10.646570562534926,-8.407233154517924,100.0,0,0.0,0.0,100.0,0,0.0,0.0,100.0,-8.407233154517924,,25,18.49900261544564,0,1,0,0,0,1,1
